f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22
0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00093,0.028,0.155,0.101,0.153,3
0.73,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0032,0.015,0.069,0.08,0.086,3
0.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0024,0.037,0.172,0.167,0.103,3
0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.02,0.106,0.101,0.104,3
0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.016,0.112,0.113,0.1,3
0.59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00005,0.036,0.094,0.102,0.092,3
0.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.013,0.12,0.111,0.109,3
0.76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0208,0.098,0.101,0.097,3
0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0011,0.024,0.122,0.112,0.109,3
0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0.031,0.142,0.147,0.097,3
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.018,0.068,0.079,0.086,3
0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.018,0.119,0.098,0.12,3
0.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00189,0.0206,0.11118,0.099,0.11207,3
0.59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0.025,0.09,0.085,0.106,3
0.25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0007,0.0206,0.183,0.141,0.13,3
0.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0026,0.018,0.104,0.11,0.095,3
0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0012,0.019,0.092,0.087,0.105,3
0.18,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.025,0.011,0.136,0.096,0.143,3
0.69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00005,0.026,0.093,0.088,0.106,3
0.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.015,0.095,0.09,0.106,3
0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0.0206,0.11118,0.099,0.11207,3
0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.184,0.114,0.162,3
0.15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00189,0.0206,0.11118,0.099,0.11207,3
0.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00189,0.0206,0.11118,0.099,0.11207,3
0.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0.024,0.095,0.095,0.1,3
0.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0.015,0.11,0.088,0.125,3
0.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.028,0.1,0.099,0.1008,3
0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0.022,0.073,0.099,0.074,3
0.59,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.00008,0.0206,0.125,0.078,0.161,3
0.77,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.00093,0.019,0.121,0.136,0.089,3
0.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0011,0.024,0.095,0.109,0.086,3
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.02,0.077,0.075,0.103,3
0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0.02,0.101,0.104,0.097,3
0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0.031,0.112,0.104,0.106,3
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0012,0.016,0.068,0.102,0.066,3
0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.023,0.092,0.099,0.09274,3
0.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0.0206,0.114,0.1,0.115,3
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.012,0.09,0.082,0.11,3
0.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.201,0.108,0.186,3
0.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0011,0.02,0.139,0.104,0.134,3
0.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0206,0.258,0.114,0.227,3
0.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0.0206,0.11118,0.099,0.11207,3
0.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.017,0.107,0.094,0.113,3
0.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095,0.025,0.138,0.116,0.118,3
0.29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.00189,0.016,0.086,0.078,0.111,3
0.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0019,0.015,0.135,0.104,0.127,3
0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.0206,0.118,0.102,0.115,3
0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0.018,0.163,0.104,0.155,3
0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0017,0.019,0.11,0.073,0.15,3
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0.0206,0.11118,0.099,0.11207,3
0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0049,0.0206,0.074,0.092,0.08,3
0.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.01,0.046,0.066,0.07,3
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0.0206,0.11118,0.099,0.11207,3
0.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0013,0.018,0.104,0.104,0.1,3
0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00031,0.022,0.085,0.119,0.071,3
0.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00001,0.04,0.204,0.084,0.242,3
0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0208,0.108,0.091,0.119,3
0.31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00004,0.027,0.163,0.094,0.172,3
0.63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0206,0.08,0.084,0.095,3
0.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.0206,0.072,0.075,0.096,3
0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.023,0.147,0.109,0.135,3
0.34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00189,0.053,0.181,0.104,0.174,3
0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0.015,0.117,0.086,0.136,3
0.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0.0208,0.149,0.102,0.147,3
0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.012,0.122,0.094,0.131,3
0.46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00015,0.053,0.233,0.092,0.253,3
0.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00208,0.0206,0.101,0.1,0.101,3
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0.016,0.127,0.1,0.126,3
0.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.039,0.097,0.084,0.115,3
0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.02,0.089,0.099,0.08971,3
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.041,0.158,0.142,0.111,3
0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0.0206,0.091,0.101,0.09,3
0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.015,0.1,0.086,0.116,3
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0.019,0.077,0.08,0.097,3
0.25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.00189,0.022,0.113,0.108,0.105,3
0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.017,0.106,0.1,0.106,3
0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.03,0.125,0.074,0.169,3
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.0206,0.085,0.092,0.092,3
0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.027,0.1,0.104,0.096,3
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033,0.018,0.134,0.097,0.138,3
0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.02,0.063,0.066,0.096,3
0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.018,0.121,0.094,0.129,3
0.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0002,0.018,0.111,0.097,0.114,3
0.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.015,0.097,0.088,0.11,3
0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0206,0.074,0.104,0.07,3
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.023,0.15,0.125,0.12,3
0.35,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00189,0.022,0.081,0.096,0.084,3
0.41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00015,0.073,0.43,0.109,0.395,3
0.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208,0.013,0.092,0.089,0.103,3
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.018,0.15,0.104,0.145,3
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0.024,0.073,0.107,0.069,3
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.02,0.087,0.073,0.118,3
0.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031,0.018,0.082,0.099,0.08266,3
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.0174,0.087,0.085,0.103,2
0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00889,0.0174,0.075,0.097,0.077,2
0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114,0.0174,0.099,0.097,0.102,2
0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.02,0.119,0.104,0.114,2
0.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00939,0.014,0.077,0.089,0.087,2
0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0092,0.025,0.106,0.113,0.094,2
0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.0174,0.112,0.108,0.103,2
0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879,0.027,0.108,0.111,0.097,2
0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.069,0.096,0.071,2
0.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00979,0.004,0.081,0.064,0.126,2
0.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0069,0.0174,0.097,0.087,0.112,2
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0.018,0.124,0.111,0.112,2
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264,0.023,0.073,0.109,0.067,2
0.59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0071,0.019,0.098,0.111,0.088,2
0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.0174,0.123,0.099,0.124,2
0.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.019,0.0174,0.093,0.12,0.077,2
0.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.036,0.0174,0.082,0.102,0.081,2
0.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.0174,0.068,0.062,0.111,2
0.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011,0.012,0.083,0.101,0.082,2
0.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.012,0.0174,0.099,0.114,0.087,2
0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082,0.0208,0.08,0.102,0.078,2
0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0.018,0.087,0.104,0.084,2
0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909,0.02,0.072,0.09,0.08,2
0.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.015,0.128,0.1,0.12787,2
0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.02,0.09159,0.1,0.0915,2
0.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0065,0.018,0.06,0.089,0.067,2
0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.031,0.131,0.123,0.106,2
0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.007,0.073,0.101,0.072,2
0.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00829,0.0208,0.104,0.104,0.097,2
0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0.0208,0.079,0.096,0.083,2
0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077,0.019,0.089,0.104,0.085,2
0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.0174,0.087,0.092,0.094,2
0.62,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.013,0.008,0.083,0.081,0.103,2
0.42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0062,0.017,0.072,0.089,0.081,2
0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.024,0.084,0.124,0.068,2
0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068,0.022,0.077,0.1,0.07692,2
0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879,0.022,0.109,0.097,0.113,2
0.64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00889,0.012,0.067,0.075,0.089,2
0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0.023,0.135,0.154,0.088,2
0.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0.012,0.083,0.082,0.101,2
0.52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.035,0.0208,0.077,0.11,0.07,2
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.025,0.098,0.088,0.111,2
0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.012,0.0208,0.081,0.109,0.074,2
0.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00829,0.009,0.103,0.111,0.093,2
